seconds_elapsed,accelerometer_z,accelerometer_y,accelerometer_x,gravity_z,gravity_y,gravity_x,gyroscope_z,gyroscope_y,gyroscope_x,orientation_qz,orientation_qy,orientation_qx,orientation_qw,orientation_roll,orientation_pitch,orientation_yaw,magnetometer_z,magnetometer_y,magnetometer_x,compass_magneticBearing,barometer_relativeAltitude,barometer_pressure,location_verticalAccuracy,location_longitude,location_latitude,annotation_text,annotation_millisecond_press_duration,totalAcceleration_z,totalAcceleration_y,totalAcceleration_x,magnetometerUncalibrated_z,magnetometerUncalibrated_y,magnetometerUncalibrated_x,gyroscopeUncalibrated_z,gyroscopeUncalibrated_y,gyroscopeUncalibrated_x,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,GIS_Elevation,Temperature (°C),Humidity (%),Cloud Cover (%),Wind Speed (km/h)
0.09,-1.358291745,0.694637299,-0.322766453,0.056707591,9.797494888,-0.419832468,0.012522728,-0.041233373,0.010690134,-0.417104423,-0.389907777,0.587435663,0.573511302,1.436536789,-1.52758348,2.651440144,-18.67500114,-53.10000229,-42.39375305,141.396983,,,,88.6228617,24.3757139,,,-1.248455226,10.47697401,-0.5479564,-35.71875,-69.11250305,-61.89375305,0.004581486,-0.039248062,0.011300998,-1.248455226,10.47697401,-0.5479564,18.708322903111835,32,83,18,21
0.1,-0.717118129,0.317636013,0.003186449,-0.056972373,9.797472477,-0.420254111,0.025534148,0.032956154,-0.094806217,-0.411207989,-0.388537258,0.593248218,0.572715223,1.705702186,-1.527530491,2.908115268,-17.0625,-51.46875381,-39.61875153,142.4122482,,,,88.6228617,24.3757139,,,-0.355573445,9.768459129,0.009571292,-34.10625076,-67.5,-59.11875153,0.017592906,0.034941464,-0.09419535,-0.355573445,9.768459129,0.009571292,18.680823379771823,32,83,18,21
0.11,-0.241221279,-0.232545853,0.626696646,-0.082136087,9.800098896,-0.347949266,0.003176497,0.076327555,-0.147096238,-0.405142426,-0.387689263,0.59488076,0.575901359,1.804040015,-1.534324348,2.9945333,-16.21875,-49.35000229,-37.42500305,142.8248228,,,,88.6228617,24.3757139,,,0.585284424,9.651689339,0.22444676,-33.26250076,-65.36250305,-56.92500305,-0.004764745,0.078312865,-0.146485375,0.585284424,9.651689339,0.22444676,18.71879639408647,32,83,18,21
0.12,0.79945825,0.148177624,0.305682525,0.007858346,9.802229404,-0.29390198,-0.076663529,0.022907428,-0.023518295,-0.40578106,-0.387921587,0.59085992,0.579432458,1.54347533,-1.540772855,2.735376358,-18.0,-53.43750381,-40.42500305,142.8928142,,,,88.6228617,24.3757139,,,0.696311392,10.00618625,-0.462412969,-35.04375076,-69.45000458,-59.92500305,-0.084604772,0.024892739,-0.022907429,0.696311392,10.00618625,-0.462412969,18.71329770563201,32,83,18,21
0.13,0.853147894,-0.392638206,-0.662992537,0.091596399,9.800209045,-0.342101291,0.016371176,-0.007483094,0.080389804,-0.412343591,-0.388267368,0.587007374,0.578479499,1.312080324,-1.53464818,2.515884161,-18.01875114,-52.38750076,-40.08750153,142.5763792,,,,88.6228617,24.3757139,,,0.692482881,9.331051254,-1.028435183,-35.0625,-68.41875458,-59.58750153,0.008429934,-0.005497783,0.081000669,0.692482881,9.331051254,-1.028435183,18.688493564427123,32,83,18,21
0.14,-0.376321051,-0.107122421,0.031718597,0.087503161,9.799314499,-0.368222937,0.050213085,-0.073089973,0.085276724,-0.41373153,-0.388280675,0.587176204,0.577308834,1.339470208,-1.532148361,2.545710325,-17.64375114,-54.45000076,-40.65000153,143.2565823,,,,88.6228617,24.3757139,,,-0.235932323,9.764152145,0.067477598,-34.6875,-70.46250153,-60.15000153,0.042271842,-0.07110466,0.085887589,-0.235932323,9.764152145,0.067477598,18.687272998688275,32,83,18,21
0.15,-0.264721349,0.28714323,0.571715504,0.060963716,9.801163197,-0.321464702,-0.042302385,0.034972009,0.018784092,-0.41045998,-0.388850778,0.587950766,0.578470886,1.38584435,-1.537382305,2.587383628,-16.57500076,-50.86875153,-38.4375,142.9245375,,,,88.6228617,24.3757139,,,-0.714855764,10.19402266,0.20638096,-33.61875153,-66.90000153,-57.93750381,-0.050243629,0.036957318,0.019394957,-0.714855764,10.19402266,0.20638096,18.68733618039413,32,83,18,21
0.16,-0.643483579,0.39792347,-0.040848762,0.01463617,9.801673889,-0.312040895,-0.032864526,-0.001740965,-0.020891576,-0.407632083,-0.388440192,0.590227067,0.578430951,1.523926139,-1.538936734,2.719898224,-18.50625038,-52.18125153,-38.45625305,143.6107312,0.0,991.7712402,,88.6228617,24.3757139,,,-0.351266363,9.573683167,-0.805902672,-35.55000305,-68.1937561,-57.95625305,-0.040805766,0.000244,-0.020280711,-0.351266363,9.573683167,-0.805902672,18.692169689718373,32,83,18,21
0.17,-0.349793255,-0.316051483,-0.527757362,-0.002914262,9.800671101,-0.342245996,0.052900891,0.038698283,-0.051801334,-0.407787561,-0.387498081,0.591602534,0.577547103,1.578886032,-1.535883307,2.773548365,-19.35000038,-50.85000229,-37.51875305,143.5789108,,,,88.6228617,24.3757139,,,-0.515055068,9.840483189,-0.424726019,-36.375,-66.86250305,-57.01875305,0.044959648,0.040683594,-0.051190469,-0.515055068,9.840483189,-0.424726019,18.70099025726528,32,83,18,21
0.18,-0.201367892,0.003967285,0.275638334,-0.021674034,9.8008008,-0.337864891,-0.018631376,0.038179048,-0.081703166,-0.406360447,-0.387069598,0.592690587,0.577724844,1.634560347,-1.536262274,2.826044798,-17.71875,-52.08750153,-36.69375229,144.8366957,,,,88.6228617,24.3757139,,,0.209132697,9.705767441,0.139740844,-34.74375153,-68.1000061,-56.19375229,-0.026572618,0.040164359,-0.0810923,0.209132697,9.705767441,0.139740844,18.69727780074568,32,83,18,21
